country1,country2,nbLinkTmp,frameworkContract
Denmark,Finland,387,FP7
Belgium,Finland,597,FP7
Estonia,Finland,138,FP7
Bulgaria,Finland,104,FP7
Cyprus,Finland,72,FP7
Croatia,Finland,58,FP7
Germany,Slovenia,501,FP7
Portugal,Slovenia,138,FP7
Austria,Slovenia,212,FP7
France,Slovenia,369,FP7
Greece,Slovenia,191,FP7
Italy,Slovenia,417,FP7
Finland,Slovenia,163,FP7
Netherlands,Slovenia,316,FP7
Ireland,Slovenia,126,FP7
Czech Republic,Slovenia,120,FP7
Denmark,Slovenia,147,FP7
Belgium,Slovenia,287,FP7
Estonia,Slovenia,71,FP7
Poland,Slovenia,172,FP7
Slovakia,Slovenia,71,FP7
Hungary,Slovenia,130,FP7
Bulgaria,Slovenia,90,FP7
Latvia,Slovenia,50,FP7
Cyprus,Slovenia,59,FP7
Romania,Slovenia,116,FP7
Malta,Slovenia,27,FP7
Lithuania,Slovenia,57,FP7
Luxembourg,Slovenia,27,FP7
Croatia,Slovenia,74,FP7
Austria,Belgium,760,FP7
Austria,Czech Republic,322,FP7
Belgium,Czech Republic,425,FP7
Bulgaria,Czech Republic,113,FP7
Cyprus,Czech Republic,67,FP7
Croatia,Czech Republic,50,FP7
Germany,Poland,1138,FP7
Austria,Poland,410,FP7
France,Poland,888,FP7
Greece,Poland,426,FP7
Italy,Poland,928,FP7
Finland,Poland,353,FP7
Netherlands,Poland,714,FP7
Ireland,Poland,224,FP7
Czech Republic,Poland,277,FP7
Denmark,Poland,308,FP7
Belgium,Poland,596,FP7
Estonia,Poland,122,FP7
Hungary,Poland,268,FP7
Bulgaria,Poland,153,FP7
Latvia,Poland,86,FP7
Cyprus,Poland,91,FP7
Malta,Poland,56,FP7
Lithuania,Poland,107,FP7
Luxembourg,Poland,51,FP7
Croatia,Poland,85,FP7
Germany,Slovakia,267,FP7
Portugal,Slovakia,80,FP7
Austria,Slovakia,127,FP7
France,Slovakia,208,FP7
Greece,Slovakia,117,FP7
Italy,Slovakia,218,FP7
Finland,Slovakia,92,FP7
Netherlands,Slovakia,167,FP7
Ireland,Slovakia,68,FP7
Czech Republic,Slovakia,105,FP7
Denmark,Slovakia,85,FP7
Belgium,Slovakia,149,FP7
Estonia,Slovakia,47,FP7
Poland,Slovakia,112,FP7
Hungary,Slovakia,111,FP7
Bulgaria,Slovakia,64,FP7
Latvia,Slovakia,38,FP7
Cyprus,Slovakia,35,FP7
Romania,Slovakia,94,FP7
Malta,Slovakia,30,FP7
Lithuania,Slovakia,45,FP7
Luxembourg,Slovakia,22,FP7
Croatia,Slovakia,35,FP7
Germany,Hungary,774,FP7
Austria,Hungary,310,FP7
France,Hungary,585,FP7
Greece,Hungary,275,FP7
Finland,Hungary,237,FP7
Czech Republic,Hungary,193,FP7
Denmark,Hungary,214,FP7
Belgium,Hungary,447,FP7
Estonia,Hungary,94,FP7
Bulgaria,Hungary,120,FP7
Cyprus,Hungary,56,FP7
Croatia,Hungary,69,FP7
Austria,Bulgaria,158,FP7
Belgium,Bulgaria,199,FP7
Germany,Latvia,158,FP7
Austria,Latvia,72,FP7
France,Latvia,128,FP7
Greece,Latvia,78,FP7
Italy,Latvia,132,FP7
Finland,Latvia,65,FP7
Ireland,Latvia,49,FP7
Czech Republic,Latvia,55,FP7
Denmark,Latvia,63,FP7
Belgium,Latvia,99,FP7
Estonia,Latvia,63,FP7
Hungary,Latvia,68,FP7
Bulgaria,Latvia,47,FP7
Cyprus,Latvia,41,FP7
Croatia,Latvia,36,FP7
Austria,Cyprus,84,FP7
Belgium,Cyprus,124,FP7
Bulgaria,Cyprus,55,FP7
Croatia,Cyprus,35,FP7
Germany,Romania,553,FP7
Portugal,Romania,205,FP7
Austria,Romania,222,FP7
France,Romania,471,FP7
Greece,Romania,268,FP7
Italy,Romania,512,FP7
Finland,Romania,187,FP7
Netherlands,Romania,343,FP7
Ireland,Romania,121,FP7
Czech Republic,Romania,150,FP7
Denmark,Romania,154,FP7
Belgium,Romania,322,FP7
Estonia,Romania,88,FP7
Poland,Romania,222,FP7
Hungary,Romania,185,FP7
Bulgaria,Romania,153,FP7
Latvia,Romania,73,FP7
Cyprus,Romania,74,FP7
Malta,Romania,50,FP7
Lithuania,Romania,84,FP7
Luxembourg,Romania,33,FP7
Croatia,Romania,77,FP7
Austria,Estonia,138,FP7
Czech Republic,Estonia,76,FP7
Denmark,Estonia,110,FP7
Belgium,Estonia,152,FP7
Bulgaria,Estonia,65,FP7
Cyprus,Estonia,47,FP7
Croatia,Estonia,44,FP7
Germany,Malta,96,FP7
Austria,Malta,47,FP7
France,Malta,87,FP7
Greece,Malta,75,FP7
Italy,Malta,102,FP7
Finland,Malta,30,FP7
Ireland,Malta,44,FP7
Czech Republic,Malta,40,FP7
Denmark,Malta,32,FP7
Belgium,Malta,60,FP7
Estonia,Malta,39,FP7
Hungary,Malta,39,FP7
Bulgaria,Malta,51,FP7
Latvia,Malta,38,FP7
Cyprus,Malta,47,FP7
Lithuania,Malta,24,FP7
Luxembourg,Malta,17,FP7
Croatia,Malta,26,FP7
Germany,Lithuania,215,FP7
Austria,Lithuania,91,FP7
France,Lithuania,172,FP7
Greece,Lithuania,107,FP7
Italy,Lithuania,187,FP7
Finland,Lithuania,91,FP7
Ireland,Lithuania,55,FP7
Czech Republic,Lithuania,74,FP7
Denmark,Lithuania,85,FP7
Belgium,Lithuania,121,FP7
Estonia,Lithuania,63,FP7
Hungary,Lithuania,81,FP7
Bulgaria,Lithuania,68,FP7
Latvia,Lithuania,53,FP7
Cyprus,Lithuania,42,FP7
Croatia,Lithuania,27,FP7
Germany,Luxembourg,140,FP7
Austria,Luxembourg,62,FP7
France,Luxembourg,112,FP7
Greece,Luxembourg,61,FP7
Italy,Luxembourg,110,FP7
Finland,Luxembourg,51,FP7
Ireland,Luxembourg,33,FP7
Czech Republic,Luxembourg,32,FP7
Denmark,Luxembourg,34,FP7
Belgium,Luxembourg,100,FP7
Estonia,Luxembourg,31,FP7
Hungary,Luxembourg,33,FP7
Bulgaria,Luxembourg,27,FP7
Latvia,Luxembourg,26,FP7
Cyprus,Luxembourg,23,FP7
Lithuania,Luxembourg,23,FP7
Croatia,Luxembourg,19,FP7
Austria,Croatia,88,FP7
Belgium,Croatia,100,FP7
Bulgaria,Croatia,60,FP7
Austria,Belgium,334,H2020
Austria,Bulgaria,65,H2020
Belgium,Bulgaria,88,H2020
Austria,Croatia,77,H2020
Belgium,Croatia,91,H2020
Bulgaria,Croatia,36,H2020
Austria,Cyprus,48,H2020
Belgium,Cyprus,61,H2020
Bulgaria,Cyprus,28,H2020
Croatia,Cyprus,27,H2020
Austria,Czech Republic,152,H2020
Belgium,Czech Republic,189,H2020
Bulgaria,Czech Republic,50,H2020
Croatia,Czech Republic,48,H2020
Cyprus,Czech Republic,26,H2020
Austria,Denmark,184,H2020
