"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2008","Netherlands","Total","Total","Number","16 405 399",""
"2008","Austria","Total","Total","Number","8 307 989",""
"2008","Poland","Total","Total","Number","38 115 641",""
"2008","Portugal","Total","Total","Number","10 553 339",""
"2008","Romania","Total","Total","Number","20 635 460",""
"2008","Slovenia","Total","Total","Number","2 010 269","b"
"2008","Slovakia","Total","Total","Number","5 376 064",""
"2008","Finland","Total","Total","Number","5 300 484",""
"2008","Sweden","Total","Total","Number","9 182 927",""
"2008","United Kingdom","Total","Total","Number","61 571 647",""
"2008","European Economic Area (EU-28 plus IS, LI, NO)","Total","Total","Number","505 385 019",""
"2008","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","Number","501 073 052",""
"2008","European Free Trade Association","Total","Total","Number","12 681 480",""
"2008","Iceland","Total","Total","Number","315 459",""
"2008","Liechtenstein","Total","Total","Number","35 356",""
"2008","Norway","Total","Total","Number","4 737 171",""
"2008","Switzerland","Total","Total","Number","7 593 494",""
"2008","Montenegro","Total","Total","Number","615 543",""
"2008","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2 045 177",""
"2008","Albania","Total","Total","Number","3 170 050",""
"2008","Serbia","Total","Total","Number","7 365 507",""
"2008","Turkey","Total","Total","Number","70 586 256",""
"2008","Andorra","Total","Total","Number","83 137",""
"2008","Belarus","Total","Total","Number","9 689 770",""
"2008","Bosnia and Herzegovina","Total","Total","Number","3 843 846",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2 153 139",""
"2008","Moldova","Total","Total","Number","3 572 703",""
"2008","Monaco","Total","Total","Number",":",""
"2008","Russia","Total","Total","Number","142 008 838",""
"2008","San Marino","Total","Total","Number","32 054",""
"2008","Ukraine","Total","Total","Number","46 192 309",""
"2008","Armenia","Total","Total","Number","3 230 086",""
"2008","Azerbaijan","Total","Total","Number","8 629 900",""
"2008","Georgia","Total","Total","Number","4 382 070",""
"2009","European Union (28 countries)","Total","Total","Number","502 090 235",""
"2009","European Union (27 countries)","Total","Total","Number","497 780 439",""
"2009","Euro area (19 countries)","Total","Total","Number","334 470 255",""
"2009","Euro area (18 countries)","Total","Total","Number","331 286 399",""
"2009","Belgium","Total","Total","Number","10 753 080",""
"2009","Bulgaria","Total","Total","Number","7 467 119",""
"2009","Czech Republic","Total","Total","Number","10 425 783",""
"2009","Denmark","Total","Total","Number","5 511 451",""
"2009","Germany","Total","Total","Number","82 002 356",""
"2009","Germany","Total","Total","Number","82 002 356",""
"2009","Estonia","Total","Total","Number","1 335 740",""
"2009","Ireland","Total","Total","Number","4 521 322",""
"2009","Greece","Total","Total","Number","11 094 745",""
"2009","Spain","Total","Total","Number","46 239 273",""
"2009","France","Total","Total","Number","64 350 226",""
"2009","France (metropolitan)","Total","Total","Number","62 465 709",""
"2009","Croatia","Total","Total","Number","4 309 796",""
"2009","Italy","Total","Total","Number","59 000 586",""
"2009","Cyprus","Total","Total","Number","796 930",""
"2009","Latvia","Total","Total","Number","2 162 834",""
"2009","Lithuania","Total","Total","Number","3 183 856",""
"2009","Luxembourg","Total","Total","Number","493 500",""
"2009","Hungary","Total","Total","Number","10 030 975",""
"2009","Malta","Total","Total","Number","410 926",""
"2009","Netherlands","Total","Total","Number","16 485 787",""
"2009","Austria","Total","Total","Number","8 335 003",""
"2009","Poland","Total","Total","Number","38 135 876",""
"2009","Portugal","Total","Total","Number","10 563 014",""
"2009","Romania","Total","Total","Number","20 440 290",""
"2009","Slovenia","Total","Total","Number","2 032 362",""
"2009","Slovakia","Total","Total","Number","5 382 401",""
"2009","Finland","Total","Total","Number","5 326 314",""
"2009","Sweden","Total","Total","Number","9 256 347",""
"2009","United Kingdom","Total","Total","Number","62 042 343",""
"2009","European Economic Area (EU-28 plus IS, LI, NO)","Total","Total","Number","507 244 444",""
"2009","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","Number","502 934 648",""
"2009","European Free Trade Association","Total","Total","Number","12 856 065",""
"2009","Iceland","Total","Total","Number","319 368",""
"2009","Liechtenstein","Total","Total","Number","35 589",""
"2009","Norway","Total","Total","Number","4 799 252",""
"2009","Switzerland","Total","Total","Number","7 701 856",""
"2009","Montenegro","Total","Total","Number","617 157",""
"2009","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2 048 619",""
"2009","Albania","Total","Total","Number","3 184 701",""
"2009","Serbia","Total","Total","Number","7 334 937",""
"2009","Turkey","Total","Total","Number","71 517 100",""
"2009","Andorra","Total","Total","Number","84 484",""
"2009","Belarus","Total","Total","Number","9 671 912",""
"2009","Bosnia and Herzegovina","Total","Total","Number","3 843 998",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2 180 686",""
"2009","Moldova","Total","Total","Number","3 567 512",""
"2009","Monaco","Total","Total","Number",":",""
