"SEX","GEO","TIME","AGE","UNIT","ISCED11","Value"
"T","IE","2015","Y15-64","PC","ED5-8","37.4"
"T","EL","2003","Y15-64","PC","ED0-2","43.9"
"T","EL","2003","Y15-64","PC","ED3-8","56.1"
"T","EL","2003","Y15-64","PC","ED3_4","40.4"
"T","EL","2003","Y15-64","PC","ED5-8","15.7"
"T","EL","2004","Y15-64","PC","ED0-2","40.9"
"T","EL","2004","Y15-64","PC","ED3-8","59.1"
"T","EL","2004","Y15-64","PC","ED3_4","41.6"
"T","EL","2004","Y15-64","PC","ED5-8","17.5"
"T","EL","2005","Y15-64","PC","ED0-2","40.0"
"T","EL","2005","Y15-64","PC","ED3-8","60.0"
"T","EL","2005","Y15-64","PC","ED3_4","42.3"
"T","EL","2005","Y15-64","PC","ED5-8","17.6"
"T","EL","2006","Y15-64","PC","ED0-2","41.4"
"T","EL","2006","Y15-64","PC","ED3-8","58.6"
"T","EL","2006","Y15-64","PC","ED3_4","39.9"
"T","EL","2006","Y15-64","PC","ED5-8","18.7"
"T","EL","2007","Y15-64","PC","ED0-2","40.8"
"T","EL","2007","Y15-64","PC","ED3-8","59.2"
"T","EL","2007","Y15-64","PC","ED3_4","40.1"
"T","EL","2007","Y15-64","PC","ED5-8","19.1"
"T","EL","2008","Y15-64","PC","ED0-2","39.7"
"T","EL","2008","Y15-64","PC","ED3-8","60.3"
"T","EL","2008","Y15-64","PC","ED3_4","40.5"
"T","EL","2008","Y15-64","PC","ED5-8","19.8"
"T","EL","2009","Y15-64","PC","ED0-2","39.6"
"T","EL","2009","Y15-64","PC","ED3-8","60.4"
"T","EL","2009","Y15-64","PC","ED3_4","40.5"
"T","EL","2009","Y15-64","PC","ED5-8","19.9"
"T","EL","2010","Y15-64","PC","ED0-2","38.5"
"T","EL","2010","Y15-64","PC","ED3-8","61.5"
"T","EL","2010","Y15-64","PC","ED3_4","40.6"
"T","EL","2010","Y15-64","PC","ED5-8","20.9"
"T","EL","2011","Y15-64","PC","ED0-2","37.1"
"T","EL","2011","Y15-64","PC","ED3-8","62.9"
"T","EL","2011","Y15-64","PC","ED3_4","40.7"
"T","EL","2011","Y15-64","PC","ED5-8","22.2"
"T","EL","2012","Y15-64","PC","ED0-2","35.9"
"T","EL","2012","Y15-64","PC","ED3-8","64.1"
"T","EL","2012","Y15-64","PC","ED3_4","41.3"
"T","EL","2012","Y15-64","PC","ED5-8","22.9"
"T","EL","2013","Y15-64","PC","ED0-2","34.5"
"T","EL","2013","Y15-64","PC","ED3-8","65.5"
"T","EL","2013","Y15-64","PC","ED3_4","41.4"
"T","EL","2013","Y15-64","PC","ED5-8","24.0"
"T","EL","2014","Y15-64","PC","ED0-2","33.1"
"T","EL","2014","Y15-64","PC","ED3-8","66.9"
"T","EL","2014","Y15-64","PC","ED3_4","42.2"
"T","EL","2014","Y15-64","PC","ED5-8","24.6"
"T","EL","2015","Y15-64","PC","ED0-2","31.5"
"T","EL","2015","Y15-64","PC","ED3-8","68.5"
