"frameworkContract" "country1" "country2" "nbLink"
"429" "FP6" "SI" "SK" 65
"430" "FP6" "SI" "UK" 368
"431" "FP6" "SK" "Others" 344
"432" "FP6" "SK" "SK" 116
"433" "FP6" "SK" "UK" 264
"434" "FP6" "UK" "Others" 10079
"435" "FP6" "UK" "UK" 10378
"436" "FP7" "AT" "AT" 1772
"437" "FP7" "AT" "BE" 1160
"438" "FP7" "AT" "BG" 162
"439" "FP7" "AT" "CY" 83
"440" "FP7" "AT" "CZ" 374
"441" "FP7" "AT" "DE" 3641
"442" "FP7" "AT" "DK" 515
"443" "FP7" "AT" "EE" 101
"444" "FP7" "AT" "EL" 576
"445" "FP7" "AT" "ES" 1855
"446" "FP7" "AT" "FI" 717
"447" "FP7" "AT" "FR" 2122
"448" "FP7" "AT" "HR" 110
"449" "FP7" "AT" "HU" 344
"450" "FP7" "AT" "IE" 276
"451" "FP7" "AT" "IT" 2166
"452" "FP7" "AT" "LT" 73
"453" "FP7" "AT" "LU" 57
"454" "FP7" "AT" "LV" 105
"455" "FP7" "AT" "MT" 38
"456" "FP7" "AT" "NL" 1474
"457" "FP7" "AT" "Others" 2863
"458" "FP7" "AT" "PL" 437
"459" "FP7" "AT" "PT" 453
"460" "FP7" "AT" "RO" 267
"461" "FP7" "AT" "SE" 975
"462" "FP7" "AT" "SI" 281
"463" "FP7" "AT" "SK" 158
"464" "FP7" "AT" "UK" 2297
"465" "FP7" "BE" "BE" 3233
"466" "FP7" "BE" "BG" 180
"467" "FP7" "BE" "CY" 106
"468" "FP7" "BE" "CZ" 444
"469" "FP7" "BE" "DE" 4542
"470" "FP7" "BE" "DK" 727
"471" "FP7" "BE" "EE" 105
"472" "FP7" "BE" "EL" 821
"473" "FP7" "BE" "ES" 2960
"474" "FP7" "BE" "FI" 772
"475" "FP7" "BE" "FR" 3595
"476" "FP7" "BE" "HR" 117
"477" "FP7" "BE" "HU" 457
"478" "FP7" "BE" "IE" 419
"479" "FP7" "BE" "IT" 3234
"480" "FP7" "BE" "LT" 129
"481" "FP7" "BE" "LU" 102
"482" "FP7" "BE" "LV" 115
"483" "FP7" "BE" "MT" 28
"484" "FP7" "BE" "NL" 2554
"485" "FP7" "BE" "Others" 4059
"486" "FP7" "BE" "PL" 642
"487" "FP7" "BE" "PT" 674
"488" "FP7" "BE" "RO" 305
"489" "FP7" "BE" "SE" 1311
"490" "FP7" "BE" "SI" 290
"491" "FP7" "BE" "SK" 123
"492" "FP7" "BE" "UK" 3878
"493" "FP7" "BG" "BG" 358
"494" "FP7" "BG" "CY" 42
"495" "FP7" "BG" "CZ" 91
"496" "FP7" "BG" "DE" 402
"497" "FP7" "BG" "DK" 70
"498" "FP7" "BG" "EE" 35
"499" "FP7" "BG" "EL" 231
"500" "FP7" "BG" "ES" 370
"501" "FP7" "BG" "FI" 85
"502" "FP7" "BG" "FR" 318
"503" "FP7" "BG" "HR" 63
"504" "FP7" "BG" "HU" 104
"505" "FP7" "BG" "IE" 73
"506" "FP7" "BG" "IT" 462
"507" "FP7" "BG" "LT" 45
"508" "FP7" "BG" "LU" 17
"509" "FP7" "BG" "LV" 30
"510" "FP7" "BG" "MT" 29
"511" "FP7" "BG" "NL" 212
"512" "FP7" "BG" "Others" 963
"513" "FP7" "BG" "PL" 138
"514" "FP7" "BG" "PT" 112
"515" "FP7" "BG" "RO" 171
"516" "FP7" "BG" "SE" 136
"517" "FP7" "BG" "SI" 82
"518" "FP7" "BG" "SK" 46
"519" "FP7" "BG" "UK" 463
"520" "FP7" "CY" "CY" 126
"521" "FP7" "CY" "CZ" 41
"522" "FP7" "CY" "DE" 216
"523" "FP7" "CY" "DK" 36
"524" "FP7" "CY" "EE" 26
"525" "FP7" "CY" "EL" 265
"526" "FP7" "CY" "ES" 262
"527" "FP7" "CY" "FI" 44
"528" "FP7" "CY" "FR" 236
"529" "FP7" "CY" "HR" 40
"530" "FP7" "CY" "HU" 64
"531" "FP7" "CY" "IE" 52
"532" "FP7" "CY" "IT" 244
"533" "FP7" "CY" "LT" 22
"534" "FP7" "CY" "LU" 17
"535" "FP7" "CY" "LV" 29
"536" "FP7" "CY" "MT" 21
"537" "FP7" "CY" "NL" 132
"538" "FP7" "CY" "Others" 571
"539" "FP7" "CY" "PL" 70
"540" "FP7" "CY" "PT" 64
"541" "FP7" "CY" "RO" 78
"542" "FP7" "CY" "SE" 98
"543" "FP7" "CY" "SI" 46
"544" "FP7" "CY" "SK" 26
"545" "FP7" "CY" "UK" 325
"546" "FP7" "CZ" "CZ" 432
"547" "FP7" "CZ" "DE" 1383
"548" "FP7" "CZ" "DK" 191
"549" "FP7" "CZ" "EE" 34
"550" "FP7" "CZ" "EL" 240
"551" "FP7" "CZ" "ES" 805
"552" "FP7" "CZ" "FI" 272
"553" "FP7" "CZ" "FR" 900
"554" "FP7" "CZ" "HR" 37
"555" "FP7" "CZ" "HU" 161
"556" "FP7" "CZ" "IE" 135
"557" "FP7" "CZ" "IT" 876
"558" "FP7" "CZ" "LT" 40
"559" "FP7" "CZ" "LU" 23
"560" "FP7" "CZ" "LV" 45
"561" "FP7" "CZ" "MT" 19
"562" "FP7" "CZ" "NL" 583
"563" "FP7" "CZ" "Others" 1024
"564" "FP7" "CZ" "PL" 278
"565" "FP7" "CZ" "PT" 181
"566" "FP7" "CZ" "RO" 146
"567" "FP7" "CZ" "SE" 345
"568" "FP7" "CZ" "SI" 86
"569" "FP7" "CZ" "SK" 80
"570" "FP7" "CZ" "UK" 936
"571" "FP7" "DE" "DE" 20918
"572" "FP7" "DE" "DK" 2539
"573" "FP7" "DE" "EE" 321
"574" "FP7" "DE" "EL" 2770
"575" "FP7" "DE" "ES" 9127
"576" "FP7" "DE" "FI" 2898
"577" "FP7" "DE" "FR" 12567
"578" "FP7" "DE" "HR" 340
"579" "FP7" "DE" "HU" 1322
"580" "FP7" "DE" "IE" 1250
"581" "FP7" "DE" "IT" 10876
"582" "FP7" "DE" "LT" 276
"583" "FP7" "DE" "LU" 184
"584" "FP7" "DE" "LV" 233
"585" "FP7" "DE" "MT" 87
"586" "FP7" "DE" "NL" 7518
"587" "FP7" "DE" "Others" 13355
"588" "FP7" "DE" "PL" 2016
"589" "FP7" "DE" "PT" 1854
"590" "FP7" "DE" "RO" 1025
"591" "FP7" "DE" "SE" 4748
"592" "FP7" "DE" "SI" 872
"593" "FP7" "DE" "SK" 403
"594" "FP7" "DE" "UK" 12736
"595" "FP7" "DK" "DK" 1275
"596" "FP7" "DK" "EE" 77
"597" "FP7" "DK" "EL" 356
"598" "FP7" "DK" "ES" 1413
"599" "FP7" "DK" "FI" 437
"600" "FP7" "DK" "FR" 1312
"601" "FP7" "DK" "HR" 47
"602" "FP7" "DK" "HU" 209
"603" "FP7" "DK" "IE" 314
"604" "FP7" "DK" "IT" 1329
"605" "FP7" "DK" "LT" 125
"606" "FP7" "DK" "LU" 32
"607" "FP7" "DK" "LV" 66
"608" "FP7" "DK" "MT" 22
"609" "FP7" "DK" "NL" 1233
"610" "FP7" "DK" "Others" 2197
"611" "FP7" "DK" "PL" 275
"612" "FP7" "DK" "PT" 348
"613" "FP7" "DK" "RO" 144
"614" "FP7" "DK" "SE" 843
"615" "FP7" "DK" "SI" 164
"616" "FP7" "DK" "SK" 58
"617" "FP7" "DK" "UK" 1988
"618" "FP7" "EE" "EE" 127
"619" "FP7" "EE" "EL" 113
"620" "FP7" "EE" "ES" 273
"621" "FP7" "EE" "FI" 139
"622" "FP7" "EE" "FR" 278
"623" "FP7" "EE" "HR" 38
"624" "FP7" "EE" "HU" 75
"625" "FP7" "EE" "IE" 54
"626" "FP7" "EE" "IT" 285
"627" "FP7" "EE" "LT" 54
"628" "FP7" "EE" "LU" 28
"629" "FP7" "EE" "LV" 52
"630" "FP7" "EE" "MT" 20
"631" "FP7" "EE" "NL" 213
"632" "FP7" "EE" "Others" 594
"633" "FP7" "EE" "PL" 83
"634" "FP7" "EE" "PT" 99
"635" "FP7" "EE" "RO" 64
"636" "FP7" "EE" "SE" 220
"637" "FP7" "EE" "SI" 64
"638" "FP7" "EE" "SK" 39
"639" "FP7" "EE" "UK" 401
"640" "FP7" "EL" "EL" 2125
"641" "FP7" "EL" "ES" 2228
"642" "FP7" "EL" "FI" 565
"643" "FP7" "EL" "FR" 2304
"644" "FP7" "EL" "HR" 150
"645" "FP7" "EL" "HU" 345
"646" "FP7" "EL" "IE" 341
"647" "FP7" "EL" "IT" 2634
"648" "FP7" "EL" "LT" 89
"649" "FP7" "EL" "LU" 42
"650" "FP7" "EL" "LV" 67
"651" "FP7" "EL" "MT" 53
"652" "FP7" "EL" "NL" 1199
"653" "FP7" "EL" "Others" 3801
"654" "FP7" "EL" "PL" 465
"655" "FP7" "EL" "PT" 685
"656" "FP7" "EL" "RO" 390
"657" "FP7" "EL" "SE" 804
"658" "FP7" "EL" "SI" 223
"659" "FP7" "EL" "SK" 135
"660" "FP7" "EL" "UK" 2546
"661" "FP7" "ES" "ES" 10190
"662" "FP7" "ES" "FI" 1894
"663" "FP7" "ES" "FR" 6659
"664" "FP7" "ES" "HR" 217
"665" "FP7" "ES" "HU" 846
"666" "FP7" "ES" "IE" 938
"667" "FP7" "ES" "IT" 7104
"668" "FP7" "ES" "LT" 184
"669" "FP7" "ES" "LU" 123
"670" "FP7" "ES" "LV" 209
"671" "FP7" "ES" "MT" 90
"672" "FP7" "ES" "NL" 3644
"673" "FP7" "ES" "Others" 7599
"674" "FP7" "ES" "PL" 1137
"675" "FP7" "ES" "PT" 1868
"676" "FP7" "ES" "RO" 725
"677" "FP7" "ES" "SE" 2370
"678" "FP7" "ES" "SI" 562
"679" "FP7" "ES" "SK" 234
"680" "FP7" "ES" "UK" 7066
"681" "FP7" "FI" "FI" 1685
"682" "FP7" "FI" "FR" 1562
"683" "FP7" "FI" "HR" 66
"684" "FP7" "FI" "HU" 235
"685" "FP7" "FI" "IE" 234
"686" "FP7" "FI" "IT" 1455
"687" "FP7" "FI" "LT" 73
"688" "FP7" "FI" "LU" 41
"689" "FP7" "FI" "LV" 86
"690" "FP7" "FI" "MT" 21
"691" "FP7" "FI" "NL" 1149
"692" "FP7" "FI" "Others" 2041
"693" "FP7" "FI" "PL" 358
"694" "FP7" "FI" "PT" 345
"695" "FP7" "FI" "RO" 184
"696" "FP7" "FI" "SE" 950
"697" "FP7" "FI" "SI" 161
"698" "FP7" "FI" "SK" 95
