Org1;Org2;nbLinkTmp;Org
63198;LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63199;FUNDACIO CENTRE DE REGULACIO GENOMICA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63200;THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63201;STICHTING VU;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63202;HORIBA JOBIN YVON S.A.S.;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63203;UNIVERSIDAD DE CASTILLA - LA MANCHA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63204;RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63205;UNIVERSITAET ZUERICH;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63206;TECHNISCHE UNIVERSITAET DRESDEN;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63207;UNIVERSITA DEGLI STUDI DI PADOVA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63208;UNIVERSITAT POLITECNICA DE VALENCIA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63209;ACADEMISCH ZIEKENHUIS LEIDEN - LEIDS UNIVERSITAIR MEDISCH CENTRUM;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63210;AALTO-KORKEAKOULUSAATIO;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63211;LINKOPINGS UNIVERSITET;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63212;POLITECNICO DI MILANO;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63213;TECHNISCHE UNIVERSITAET MUENCHEN;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63214;THE UNIVERSITY OF NOTTINGHAM;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63215;UNIVERSITAET BIELEFELD;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63216;ACADEMISCH ZIEKENHUIS GRONINGEN;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63217;PANEPISTIMIO IOANNINON;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63218;UNIVERSITAT BASEL;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63219;UNIVERSITE CATHOLIQUE DE LOUVAIN;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63220;THE QUEEN'S UNIVERSITY OF BELFAST;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63221;ERASMUS UNIVERSITEIT ROTTERDAM;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63222;THE UNIVERSITY OF MANCHESTER;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63223;KNOWLEDGE TRANSFER NETWORK LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63224;UNIVERSITAET ZU KOELN;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63225;CNM TECHNOLOGIES GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63226;FRIEDRICH-SCHILLER-UNIVERSITAT JENA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63227;KONINKLIJKE NEDERLANDSE AKADEMIE VAN WETENSCHAPPEN - KNAW;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63228;UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63229;Department of Health;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63230;STATENS SERUM INSTITUT;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63231;BIOLUTION GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63232;CENTRE FOR REGIONAL POLICY RESEARCH AND COOPERATION STUDIORUM ZDRUZENJE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63233;CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63234;DEBRECENI EGYETEM;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63235;ENDOKRINOLOGICKY USTAV;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63236;INSTITUT DE INVESTIGACIO EN CIENCIES DE LA SALUT GERMANS TRIAS I PUJOL;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63237;IODINE GLOBAL NETWORK;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63238;KLINICKI BOLNICKI CENTAR SESTRE MILOSRDNICE USTANOVA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63239;Ministério da Defesa Nacional;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63240;NASJONALT INSTITUTT FOR ENAERINGS-OG SJOMATFORSKNING;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63241;OU ENDOKRINOLOOGIAKESKUS;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63242;SOFIISKI UNIVERSITET SVETI KLIMENT OHRIDSKI;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63243;UMIT- PRIVATE UNIVERSITAT FUER GESUNDHEITSWISSENSCHAFTEN, MEDIZINISCHEINFORMATIK UND TECHNIK GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63244;UNIVERSITA DI PISA;UNIVERSITE LIBRE DE BRUXELLES;4;UNIVERSITE LIBRE DE BRUXELLES
63245;UNIVERSITATSMEDIZIN GREIFSWALD KORPERSCHAFT DES OFFENTLICHEN RECHTS;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63246;BANGOR UNIVERSITY;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63247;UNIVERSITAET HAMBURG;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63248;ISTITUTO EUROPEO DI ONCOLOGIA SRL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63249;A2F ASSOCIATES LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63250;FRIEDRICH-ALEXANDER-UNIVERSITAT ERLANGEN NURNBERG;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
