country1;country2;nbLinkTmp;frameworkContract
656;Austria;Latvia;72;FP7
657;France;Latvia;128;FP7
658;Greece;Latvia;78;FP7
659;Italy;Latvia;132;FP7
660;Finland;Latvia;65;FP7
661;Ireland;Latvia;49;FP7
662;Czech Republic;Latvia;55;FP7
663;Denmark;Latvia;63;FP7
664;Belgium;Latvia;99;FP7
665;Estonia;Latvia;63;FP7
666;Hungary;Latvia;68;FP7
667;Bulgaria;Latvia;47;FP7
668;Cyprus;Latvia;41;FP7
669;Croatia;Latvia;36;FP7
670;Austria;Cyprus;84;FP7
671;Belgium;Cyprus;124;FP7
672;Bulgaria;Cyprus;55;FP7
673;Croatia;Cyprus;35;FP7
674;Germany;Romania;553;FP7
675;Portugal;Romania;205;FP7
676;Austria;Romania;222;FP7
677;France;Romania;471;FP7
678;Greece;Romania;268;FP7
679;Italy;Romania;512;FP7
680;Finland;Romania;187;FP7
681;Netherlands;Romania;343;FP7
682;Ireland;Romania;121;FP7
683;Czech Republic;Romania;150;FP7
684;Denmark;Romania;154;FP7
685;Belgium;Romania;322;FP7
686;Estonia;Romania;88;FP7
687;Poland;Romania;222;FP7
688;Hungary;Romania;185;FP7
689;Bulgaria;Romania;153;FP7
690;Latvia;Romania;73;FP7
691;Cyprus;Romania;74;FP7
692;Malta;Romania;50;FP7
693;Lithuania;Romania;84;FP7
694;Luxembourg;Romania;33;FP7
695;Croatia;Romania;77;FP7
696;Austria;Estonia;138;FP7
697;Czech Republic;Estonia;76;FP7
698;Denmark;Estonia;110;FP7
699;Belgium;Estonia;152;FP7
700;Bulgaria;Estonia;65;FP7
701;Cyprus;Estonia;47;FP7
702;Croatia;Estonia;44;FP7
703;Germany;Malta;96;FP7
704;Austria;Malta;47;FP7
705;France;Malta;87;FP7
706;Greece;Malta;75;FP7
707;Italy;Malta;102;FP7
708;Finland;Malta;30;FP7
709;Ireland;Malta;44;FP7
710;Czech Republic;Malta;40;FP7
711;Denmark;Malta;32;FP7
712;Belgium;Malta;60;FP7
713;Estonia;Malta;39;FP7
714;Hungary;Malta;39;FP7
715;Bulgaria;Malta;51;FP7
716;Latvia;Malta;38;FP7
717;Cyprus;Malta;47;FP7
718;Lithuania;Malta;24;FP7
719;Luxembourg;Malta;17;FP7
720;Croatia;Malta;26;FP7
721;Germany;Lithuania;215;FP7
722;Austria;Lithuania;91;FP7
723;France;Lithuania;172;FP7
724;Greece;Lithuania;107;FP7
725;Italy;Lithuania;187;FP7
726;Finland;Lithuania;91;FP7
727;Ireland;Lithuania;55;FP7
728;Czech Republic;Lithuania;74;FP7
729;Denmark;Lithuania;85;FP7
730;Belgium;Lithuania;121;FP7
731;Estonia;Lithuania;63;FP7
732;Hungary;Lithuania;81;FP7
733;Bulgaria;Lithuania;68;FP7
734;Latvia;Lithuania;53;FP7
735;Cyprus;Lithuania;42;FP7
736;Croatia;Lithuania;27;FP7
737;Germany;Luxembourg;140;FP7
738;Austria;Luxembourg;62;FP7
