Country;all;II...In.house.lobbyists.and.trade.business.professional.associations;III...Non.governmental.organisations;I...Professional.consultancies.law.firms.self.employed.consultants;VI...Organisations.representing.local..regional.and.municipal.authorities..other.public.or.mixed.entities..etc.;IV...Think.tanks..research.and.academic.institutions;V...Organisations.representing.churches.and.religious.communities;Companies...groups;Non.governmental.organisations..platforms.and.networks.and.similar;Trade.and.business.associations;Professional.consultancies;Other.sub.national.public.authorities;Self.employed.consultants;Think.tanks.and.research.institutions;Trade.unions.and.professional.associations;Other.organisations;Other.public.or.mixed.entities..created.by.law.whose.purpose.is.to.act.in.the.public.interest;Law.firms;Regional.structures;Transnational.associations.and.networks.of.public.regional.or.other.sub.national.authorities;Organisations.representing.churches.and.religious.communities;Academic.institutions;Audiovisual.and.Media;Climate.Action;Communication;Competition;Consumer.Affairs;Culture;Economic.and.Financial.Affairs;Education;Employment.and.Social.Affairs;Energy;Enlargement;Enterprise;Environment;External.Relations;Foreign.and.Security.Policy.and.Defence;General.and.Institutional.Affairs;Home.Affairs;Information.Society;Internal.Market;Justice.and.Fundamental.Rights;Public.Health;Regional.Policy;Research.and.Technology;Taxation;Trade;Trans.European.Networks;Youth;Budget;Customs;Development;Transport;Agriculture.and.Rural.Development;Food.Safety;Fisheries.and.Aquaculture;Humanitarian.Aid;Sport;Financial.Stability..Financial.Services.and.Capital.Markets.Union.
SOUTH AFRICA;3;1;1;NA;NA;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;2;NA;2;1;1;2;1;NA;2;NA;1;2;2;1;NA;1;1;2;1;1;1;2;2;2;1;NA;NA;1;2;2;2;1;1;NA;1;2
MALAYSIA;5;3;NA;1;NA;1;NA;NA;NA;3;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;2;2;1;2;2;2;3;NA;1;4;1;1;2;1;2;3;1;2;1;3;1;3;1;1;1;1;4;3;4;4;2;1;NA;2
ARMENIA;3;1;1;NA;NA;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;1;NA;1;3;NA;1;NA;NA;NA;NA;1
GIBRALTAR;1;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ARGENTINA;3;2;1;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;2;NA;NA;1;2;2;1;2;NA;1;NA;2;NA;2;1;2;2;NA;1;NA;NA;3;NA;2;2;1;1;NA;NA
KYRGYZSTAN;1;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;1;1;1;NA;NA;1;1;1;1;NA;1;NA;1;1;1;1;NA;NA;1;1;1;NA;1;NA;NA;1;NA;1;NA;NA
BERMUDA;2;2;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
NEW ZEALAND;5;4;1;NA;NA;NA;NA;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;1;1;1;NA;NA;NA;3;NA;1;3;1;NA;NA;NA;NA;1;NA;NA;NA;2;2;5;1;NA;NA;1;4;1;4;3;NA;NA;NA;NA
TUNISIA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA
ALBANIA;4;NA;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;3;1;2;1;NA;1;2;NA;2;NA;NA;1;NA;1;1;1;NA;1;NA;2;1;3;NA;NA;2;NA;2;NA;NA;NA;1;NA
INDONESIA;2;2;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;1;2;2;NA;NA;NA;2;2;1;2;1;NA;NA;NA;NA
UGANDA;3;NA;2;NA;1;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;2;NA;NA;NA;1;3;2;NA;NA;NA;1;1;NA;1;1;1;1;2;2;2;NA;1;1;1;3;1;NA;2;1;1;2;1;1;NA;1
