sectperf	unit	geo	time	values
GOV	EUR_HAB	FI	2015-01-01	90.7
GOV	EUR_HAB	FR	2015-01-01	95.7
GOV	EUR_HAB	HR	2015-01-01	21.8
GOV	EUR_HAB	HU	2015-01-01	20.4
GOV	EUR_HAB	IE	2015-01-01	29.4
GOV	EUR_HAB	IS	2015-01-01	48.7
GOV	EUR_HAB	IT	2015-01-01	47.7
GOV	EUR_HAB	LT	2015-01-01	22.8
GOV	EUR_HAB	LU	2015-01-01	371.2
GOV	EUR_HAB	LV	2015-01-01	19.6
GOV	EUR_HAB	MT	2015-01-01	27.6
GOV	EUR_HAB	NL	2015-01-01	99.5
GOV	EUR_HAB	NO	2015-01-01	196.6
GOV	EUR_HAB	PL	2015-01-01	27.7
GOV	EUR_HAB	PT	2015-01-01	13
GOV	EUR_HAB	RO	2015-01-01	15.1
GOV	EUR_HAB	RU	2015-01-01	28.5
GOV	EUR_HAB	SE	2015-01-01	51.4
GOV	EUR_HAB	SI	2015-01-01	55.9
GOV	EUR_HAB	SK	2015-01-01	47.7
GOV	EUR_HAB	UK	2015-01-01	46
GOV	MIO_EUR	AT	2015-01-01	463.63
GOV	MIO_EUR	BE	2015-01-01	782.17
GOV	MIO_EUR	BG	2015-01-01	90.02
GOV	MIO_EUR	CH	2015-01-01	181.58
GOV	MIO_EUR	CY	2015-01-01	10.9
GOV	MIO_EUR	CZ	2015-01-01	663.171
GOV	MIO_EUR	DE	2015-01-01	13000
GOV	MIO_EUR	DK	2015-01-01	181.912
GOV	MIO_EUR	EA19	2015-01-01	29683.033
GOV	MIO_EUR	EE	2015-01-01	32.712
GOV	MIO_EUR	EL	2015-01-01	465.5
GOV	MIO_EUR	ES	2015-01-01	2520.417
GOV	MIO_EUR	EU28	2015-01-01	35749.068
GOV	MIO_EUR	FI	2015-01-01	496.2
GOV	MIO_EUR	FR	2015-01-01	6357.516
GOV	MIO_EUR	HR	2015-01-01	91.954
GOV	MIO_EUR	HU	2015-01-01	200.778
GOV	MIO_EUR	IE	2015-01-01	136.2
GOV	MIO_EUR	IS	2015-01-01	16.029
GOV	MIO_EUR	IT	2015-01-01	2901.586
GOV	MIO_EUR	LT	2015-01-01	66.536
GOV	MIO_EUR	LU	2015-01-01	208.97
GOV	MIO_EUR	LV	2015-01-01	39
GOV	MIO_EUR	MT	2015-01-01	11.85
GOV	MIO_EUR	NL	2015-01-01	1681
GOV	MIO_EUR	NO	2015-01-01	1015.688
GOV	MIO_EUR	PL	2015-01-01	1052.986
GOV	MIO_EUR	PT	2015-01-01	135.289
GOV	MIO_EUR	RO	2015-01-01	299.223
GOV	MIO_EUR	RU	2015-01-01	4174.32
GOV	MIO_EUR	SE	2015-01-01	500.989
GOV	MIO_EUR	SI	2015-01-01	115.218
GOV	MIO_EUR	SK	2015-01-01	258.341
GOV	MIO_EUR	UK	2015-01-01	2982.915
GOV	MIO_NAC	AT	2015-01-01	463.63
GOV	MIO_NAC	BE	2015-01-01	782.17
GOV	MIO_NAC	BG	2015-01-01	176.061
GOV	MIO_NAC	CH	2015-01-01	193.909
GOV	MIO_NAC	CY	2015-01-01	10.9
GOV	MIO_NAC	CZ	2015-01-01	18090.631
GOV	MIO_NAC	DE	2015-01-01	13000
GOV	MIO_NAC	DK	2015-01-01	1356.826
GOV	MIO_NAC	EE	2015-01-01	32.712
GOV	MIO_NAC	EL	2015-01-01	465.5
GOV	MIO_NAC	ES	2015-01-01	2520.417
GOV	MIO_NAC	FI	2015-01-01	496.2
GOV	MIO_NAC	FR	2015-01-01	6357.516
GOV	MIO_NAC	HR	2015-01-01	700.106
GOV	MIO_NAC	HU	2015-01-01	62241.1
GOV	MIO_NAC	IE	2015-01-01	136.2
GOV	MIO_NAC	IS	2015-01-01	2345
GOV	MIO_NAC	IT	2015-01-01	2901.586
GOV	MIO_NAC	LT	2015-01-01	66.536
GOV	MIO_NAC	LU	2015-01-01	208.97
GOV	MIO_NAC	LV	2015-01-01	39
GOV	MIO_NAC	MT	2015-01-01	11.85
GOV	MIO_NAC	NL	2015-01-01	1681
GOV	MIO_NAC	NO	2015-01-01	9090
GOV	MIO_NAC	PL	2015-01-01	4405.8
